number,name,name_object,date,author,address,district,protection_category,base,note,lat,lon
2174,Комплекс военной тюрьмы одиночного заключения Морского ведомства,Кирпичная ограда с въездными воротами,1869,"арх. В.П. Львов, воен. инж. Г.С. Войницкий (строитель)","Академика Лебедева ул., 39",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2175,,Комплекс зданий Михайловского военного училища и академии,1829-1900,"архитекторы А.Е. Штауберт, В.И. Серков, И.И. Шапошников, Колонтай, Ползиков; воен. инженеры Л.А. Витовский, К.Ф. Гаусман, К. Леопольд","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2176,Комплекс зданий Михайловского военного училища и академии,"Главный корпус с 1-м солдатским корпусом, офицерским флигелем и Михайловское артиллерийское училище",1829; 1893-1900,"арх. А.Е. Штауберт; архитекторы В.И. Серков, И.И. Шапошников","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2177,Комплекс зданий Михайловского военного училища и академии,Манеж с конюшнями,1829; 1870,"арх. А.Е. Штауберт; воен. инженеры Л.А. Витовский, К.Ф. Гаусман","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2178,Комплекс зданий Михайловского военного училища и академии,Баня,1901,воен. инж. К. Леопольд,"Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2179,Комплекс зданий Михайловского военного училища и академии,Пиротехническая школа,1850-1852; 1864,"арх. А.Я. Фарафонтьев; воен. инженеры  Л.А. Витовский, К.Ф. Гаусман","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2180,Комплекс зданий Михайловского военного училища и академии,Лабораторный корпус,1864,"воен. инженеры  Л.А. Витовский, К.Ф. Гаусман","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2181,Комплекс зданий Михайловского военного училища и академии,Экипажный сарай с конюшнями,1859,"архитекторы Колонтай, Ползиков","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2182,Комплекс зданий Михайловского военного училища и академии,Орудийный сарай,1863; 1897-1899,"архитекторы В.И., Серков И.И. Шапошников (1897-1899)","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2183,Комплекс зданий Михайловского военного училища и академии,Малый манеж,1893-1900,"архитекторы В.И. Серков, И.И. Шапошников","Арсенальная наб., 15; Комсомола ул., 22; Академика Лебедева ул., 1-3; Ленина пл., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2184,,Комплекс зданий Дома призрения А.И. Тименкова и В.А. Фролова,1-я пол. 19 в. - 1910,"архитекторы К.К. Вергейм,  Н.Ф. Монтандр, А.Х. Пель, Г.А. Косяков, П.Ю. Сюзор, гражд. инж. Вас.А. Косяков","Арсенальная наб., 3, 5; Комсомола ул., 4, 6",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.954561,30.369147
2185,Комплекс зданий Дома призрения А.И. Тименкова и В.А. Фролова,Сады,19 - нач. 20 в.,автор не установлен,"Арсенальная наб., 3, 5; Комсомола ул., 4, 6",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.954561,30.369147
2186,Комплекс зданий Дома призрения А.И. Тименкова и В.А. Фролова,Ограды,кон. 19 в. (изготовлены на заводе Сан-Галли),автор не установлен,"Арсенальная наб., 3, 5; Комсомола ул., 4, 6",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.954561,30.369147
2187,Комплекс зданий Дома призрения А.И. Тименкова и В.А. Фролова,Здание школы,1891-1893,арх. П.Ю. Сюзор,"Арсенальная наб., 3; Комсомола ул., 4",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.954561,30.369147
2188,Комплекс зданий Дома призрения А.И. Тименкова и В.А. Фролова,Богадельня для неимущих престарелых и увечных Санкт-Петербургского купечества и мещан со школой для сирот и детей неимущих,1-я пол. 19 в.; 1870-1878; 1910,"архитекторы К.К. Вергейм,  Н.Ф. Монтандр (1870-1878); арх. А.Х. Пель, Г.А. Косяков, гражд. инж. Вас.А. Косяков (1910)","Арсенальная наб., 5; Комсомола ул., 6",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2189,,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2190,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Входное здание с квартирами надзирателей,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2191,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Административные здания с церковью св. Александра Невского,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2192,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Крестообразный корпус камер,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2193,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Крестообразный корпус камер,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2194,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Дом для надзирателей,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2195,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Дом для надзирателей,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2196,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Дом для надзирателей,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2197,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Прачечная и ледник,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2198,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Здание бани,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2199,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Здание кухни и пекарни и прачечной (с машинным отделением),1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2200,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Административное здание больницы,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2201,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Больница для заразных,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2202,"Комплекс Санкт-Петербургской одиночной тюрьмы (""Кресты"")",Ледник,1885-1890,"архитекторы А.О. Томишко, П.М.(?) Макаров","Арсенальная наб., 7; Комсомола ул., 8",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.95402,30.367557
2203,,Комплекс построек водоподъемной станции Общества заречного водопровода,1875-1888,воен. инж. И.О. Рубан,"Арсенальная ул., 7",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2204,Комплекс построек водоподъемной станции Общества заречного водопровода,Машинное здание с котельной и дымовой трубой,1875-1888,воен. инж. И.О. Рубан,"Арсенальная ул., 7",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2205,Комплекс построек водоподъемной станции Общества заречного водопровода,Служебное здание,1875-1888,воен. инж. И.О. Рубан,"Арсенальная ул., 7",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2206,,Комплекс Санкт-Петербургской женской исправительной тюрьмы,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2207,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Административное здание,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2208,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Корпус одиночного заключения,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2209,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Больничный корпус,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2210,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Арестантский корпус с церковью Покрова Божией Матери,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2211,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Служительский корпус,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2212,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Баня с прачечной,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2213,Комплекс Санкт-Петербургской женской исправительной тюрьмы,Караульное отделение,1885-1890,"архитекторы А.О. Томишко, К.Я. Маевский","Арсенальная ул., 9, 11",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.959318,30.37098
2214,,Торговая баня П.И. Кудрявцева (Высшие Стебутовские курсы Общества содействия женскому сельскохозяйственному образованию),1905; 1909 (реконструкция),гражд. инж. А.К. Монтаг; гражд. инж. А.И. Дитрих,"Бобруйская ул., 4",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2215,,"Братская могила моряков крейсера ""Максим Горький"", погибших при обороне Ленинграда в 1941-1942 гг.",,,"Богословское кладбище, пересечение Днепропетровской и Безымянной дорожек",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 8-43 от 11.05.2006,,,
2216,,Жилые дома для служащих Финляндской железной дороги,1907-1908,"арх. Ф.Ф. Миритц, гражд. инж. И.И. Герасимов","Боткинская ул., 1",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2217,Жилые дома для служащих Финляндской железной дороги,Угловой корпус,1907-1908,"арх. Ф.Ф. Миритц, гражд. инж. И.И. Герасимов","Боткинская ул., 1",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2218,Жилые дома для служащих Финляндской железной дороги,Угловой корпус,1907-1908,"арх. Ф.Ф. Миритц, гражд. инж. И.И. Герасимов","Боткинская ул., 1",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2219,Жилые дома для служащих Финляндской железной дороги,Центральный корпус,1907-1908,"арх. Ф.Ф. Миритц, гражд. инж. И.И. Герасимов","Боткинская ул., 1",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2220,,Гидротехнический институт им. Б.Е. Веденеева (лицевой корпус с примыкающими дворовыми флигелями),1934,арх. Т.М. Шапиро,"Гжатская ул., 21",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2221,,Комплекс зданий Агрофизического научно-исследовательского института,,,"Гражданский пр., д. 14, литеры А, Д",Калининский,Выявленный объект культурного наследия,Распоряжение КГИОП № 10-218 от 31.05.2016,,,
2222,Комплекс зданий Агрофизического научно-исследовательского института,Главное здание,,,"Гражданский пр., д. 14, лит. А",Калининский,Выявленный объект культурного наследия,Распоряжение КГИОП № 10-218 от 31.05.2016,,,
2223,Комплекс зданий Агрофизического научно-исследовательского института,Лаборатория свето-физиологии с оранжереей,,,"Гражданский пр., д. 14, лит. Д",Калининский,Выявленный объект культурного наследия,Распоряжение КГИОП № 10-218 от 31.05.2016,,,
2224,,Памятник государственному деятелю Калинину М.И.,1955,"ск. Манизер М.Г., арх. Барутчев А.К., арх. Рубанчик Я.О.",Калинина пл.,Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.970267,30.386143
2225,,"Комплекс построек завода ""Арсенал""",1844-1849,"архитекторы А.П. Гемилиан, А.А. Тон (строитель)","Комсомола ул., 1, 2, 3",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2226,"Комплекс построек завода ""Арсенал""","Ворота, выходящие на улицу Михайлова",1886,"архитекторы А.П. Гемилиан, А.А. Тон (строитель)","Комсомола ул., 1, 2, 3",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2227,"Комплекс построек завода ""Арсенал""",Здание кузницы,кон. 19 в. - нач. 20 в.,"архитекторы А.П. Гемилиан, А.А. Тон (строитель)","Комсомола ул., 1, 2, 3, корп. 27 (старая часть)",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2228,"Комплекс построек завода ""Арсенал""",Производственный корпус,кон. 19 в. - нач. 20 в.,"архитекторы А.П. Гемилиан, А.А. Тон (строитель)","Комсомола ул., 1, 2, 3, корп. 36",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2229,,Арсенал,1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 1, 2, 3; Арсенальная наб., 1",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2230,Арсенал,Корпус офицерский (корпус 6),1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 1-3",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2231,Арсенал,Мастерская деревообделочная (корпус 7),1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 1-3",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2232,Арсенал,"Дома жилые (корпуса 83, 87, 90, 91)",1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 1-3",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2233,Арсенал,Ограда с пушками,1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 1-3 (между офицерским корп. и деревообделочной мастерской)",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2234,Арсенал,Палисадники у лафетной мастерской (три),1-я пол. 19 в.,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 1-3; Арсенальная наб., 1",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2235,Арсенал,Мастерская лафетная (корпус 1),1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 2",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2236,Арсенал,Материальные магазины (корпус 2-а) - склады,1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 2",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2237,Арсенал,Мастерская слесарно-паяльная (корпус 3),1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 2",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2238,Арсенал,Ограда с пушками,1844-1849,"арх. Гемилиан А.П., строитель арх. Тон А.А.","Комсомола ул., 2 (у материальных магазинов)",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2239,,"Дом, где в ноябре 1895 г. была образована общегородская социал-демократическая организация ""Союз борьбы за освобождение рабочего класса""",,,"Комсомола ул., 12; Михайлова ул., 4",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2240,,Дома Н.А. Пастухова (с оградой),1829-1895,"архитекторы М.А. Ливен, В.Е. Стуккей","Комсомола ул., 14; Михайлова ул., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2241,Дома Н.А. Пастухова (с оградой),Каменный жилой дом,1894-1895,арх. В.Е. Стуккей,"Комсомола ул., 14",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2242,Дома Н.А. Пастухова (с оградой),Ограда,,,"Комсомола ул., 14; Михайлова ул., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2243,Дома Н.А. Пастухова (с оградой),Деревянный жилой дом,1829,арх. М.А. Ливен,"Михайлова ул., 2",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2244,,"Академия Михайловская артиллерийская, где преподавали ученые Ленц Э.Х., Остроградский М.В., Петрушевский В.Ф.",,,"Комсомола ул., 22",Калининский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,,
2245,,Жилой дом для служащих Финляндской железной дороги,1882-1887,арх. А.Р. Гешвенд,"Комсомола ул., 35",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2246,,Общественное здание,1935-1940,"архитекторы Я.О. Рубанчик, Б.С. Збарж, Н.И. Иоффе и др.","Комсомола ул., 41",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2247,,"Дом, в котором с 1850 по 1856 г. жил Бородин Александр Порфирьевич",1950-е (перепланировка кв.),,"Комсомола ул., 49 (кв. Бородина А.П.)",Калининский,Объект культурного наследия регионального значения,Постановление Совета Министров РСФСР № 1327 (прил. 2) от 30.08.1960,,,
2248,,Здание ремесленного училища Русского технического общества при Петроградском Металлическом заводе,1910,гражд. инж. Р.А. Берзен,"Кондратьевский пр., 13",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2249,,"Инструментальные мастерские механического и машиностроительного завода ""Феникс""",2-я пол. 19 - нач. 20 в.,автор не установлен,"Кондратьевский пр., 3, корп. 3",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.958507,30.37495
2250,,"Здание кинотеатра ""Гигант""",1934-1936,"архитекторы А.И. Гегелло, Д.Л. Кричевский","Кондратьевский пр., 44",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.971235,30.386377
2251,,Богадельня для престарелых членов Общества вспоможения приказчикам и сидельцам,1903,гражд. инж. Н.В. Никитин,"Кондратьевский пр., 87",Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
2252,,"Комплекс построек железнодорожной станции ""Кушелевка""",1900-е,автор не установлен,Кушелевка ст.,Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.990332,30.353382
2253,"Комплекс построек железнодорожной станции ""Кушелевка""",Жилое здание,1900-е,автор не установлен,Кушелевка ст.,Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.990332,30.353382
2254,"Комплекс построек железнодорожной станции ""Кушелевка""",Жилое здание,1900-е,автор не установлен,Кушелевка ст.,Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.990332,30.353382
2255,"Комплекс построек железнодорожной станции ""Кушелевка""",Жилое здание,1900-е,автор не установлен,Кушелевка ст.,Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.990332,30.353382
2256,"Комплекс построек железнодорожной станции ""Кушелевка""",Хозяйственная постройка,1900-е,автор не установлен,Кушелевка ст.,Калининский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.990332,30.353382
2257,,Могила Осинцева Михаила Александровича (1907-1968 гг.) - Героя Социалистического Труда,,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2258,,Могила Подковырова Сергея Ивановича (1895-1919 гг.)  и Якубениса Яна (Евгения) Осиповича (1885-1919 гг.) - участников обороны Петрограда в 1919 г. (братская могила),,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2259,,"Могила Прокофьева Александра Андреевича (1900-1971 гг.) - поэта, Героя Социалистического Труда",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2260,,Могила Никитина Николая Никитича (1915-1939 гг.) - Героя Советского Союза,,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2261,,"Могила Кулакова Николая Михайловича (1908-1976 гг.) - адмирала, Героя Советского Союза",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2262,,Могила Ложечникова Андрея Алексеевича (1907-1974 гг.) - Героя Советского Союза,,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2263,,"Могила Лунина Николая Александровича (1907-1970 гг.) - контр-адмирала, Героя Советского Союза",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2264,,"Могила Маринеско Александра Ивановича (1913-1963 гг.) - легендарного командира подводной лодки ""С-13""",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,,
2265,,"Могила Аринкина Михаила Иннокентьевича (1876-1948), врача",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2266,,"Могила Бонч-Бруевича Михаила Александровича (1888-1940), физика",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2267,,"Могила Гирголавы Семена Семеновича (1881-1957), хирурга",1958 (надгробие),ск. Тонкова Е.В.,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2268,,"Могила Залесского Михаила Дмитриевича (1877-1946), палеоботаника",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2269,,"Могила Иванова Александра Александровича (1867-1939), астронома",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2270,,"Могила Иванова Ивана Ивановича (1862-1939), математика",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2271,,"Могила Кондратьева Александра Александровича (1900-1918), героя Гражданской войны",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
2272,,"Могила Лебедева Алексея Борисовича (1883-1941), электротехника",,,"Лабораторный пр., Богословское кладбище",Калининский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.983608,30.388182
